nestID,plot,year,fate,clutch.completion,fledgefail,eggs,fledged,BHCO.eggs,GPS.E,GPS.N
11234,Area 27,2011,failed: pred,5/13/2011,6/2/2011,3,0,0,641123,4318556
11237,McCormick's Creek State Park,2011,failed: pred,5/26/2011,6/9/2011,3,0,1,524618,4349901
11238,McCormick's Creek State Park,2011,failed: pred,6/4/2011,6/25/2011,3,0,0,524637,4349999
11239,Martin State Forest,2011,FLEDGED,5/31/2011,6/23/2011,4,2,1,512524,4313800
11240,Spring Mill State Park,2011,FLEDGED,5/24/2011,6/17/2011,0,0,2,549762,4286338
11241,Area 7,2011,FLEDGED,5/18/2011,6/11/2011,3,2,1,635275,4321673
11242,Area 27,2011,failed: pred,5/26/2011,6/12/2011,4,0,0,641106,4318068
11244,First Creek,2011,failed: pred,6/3/2011,6/7/2011,4,0,0,508536,4301889
11245,East Bogs,2011,failed: pred,6/1/2011,6/10/2011,3,0,0,514290,4293189
11246,Owen-Putnam State Forest,2011,failed: pred,6/8/2011,7/1/2011,4,0,0,512692,4352984
11247,Spring Mill State Park,2011,failed: abandoned,6/7/2011,6/12/2011,3,0,0,549872,4286464
11248,East Bogs,2011,FLEDGED,6/4/2011,6/26/2011,4,3,0,514112,4293895
11249,McCormick's Creek State Park,2011,failed: unknown,6/1/2011,6/7/2011,4,0,0,524263,4350658
11251,Area 7,2011,failed: pred,5/30/2011,6/21/2011,4,0,1,635179,4320989
11252,McCormick's Creek State Park,2011,failed: pred,6/6/2011,6/15/2011,3,0,0,524517,4350161
11253,McCormick's Creek State Park,2011,failed: pred,6/7/2011,6/29/2011,1,0,1,524536,4350035
11254,McCormick's Creek State Park,2011,FLEDGED,6/10/2011,7/4/2011,2,2,1,524287,4350695
11255,McCormick's Creek State Park,2011,assumed fledged,6/10/2011,7/6/2011,1,1,2,524303,4350162
11256,Seed Tick,2011,failed: pred,6/6/2011,6/9/2011,3,0,0,510581,4289349
11259,Martin State Forest,2011,failed: abandoned,6/11/2011,6/11/2011,0,0,1,511992,4313518
