point,date,time,first_det,song,distance
145,6/17/2011,399,3,1,100
145,7/7/2013,568,9,1,15
145,6/19/2012,435,8,1,65
145,6/1/2011,521,1,0,35
145,7/5/2012,476,8,1,20
145,6/2/2013,554,3,1,95
145,7/12/2014,531,2,1,40
145,7/6/2011,444,7,1,70
145,6/26/2014,528,0,1,10
145,6/26/2014,528,1,1,80
145,6/1/2011,521,0,1,85
145,6/25/2014,466,0,1,40
145,7/12/2014,531,1,1,55
145,6/3/2012,516,4,1,100
145,6/26/2014,528,0,1,25
145,7/6/2011,444,0,1,30
146,6/19/2012,496,4,1,75
146,6/1/2011,520,0,1,85
146,6/25/2014,407,3,0,20
146,6/25/2014,407,9,0,40
146,7/5/2012,404,1,1,50
146,6/19/2012,496,0,1,90
146,7/12/2014,443,8,0,2
146,7/6/2011,518,8,1,80
146,6/26/2014,430,0,1,50
146,6/26/2014,430,0,1,40
146,6/25/2014,407,1,1,35
146,7/5/2012,404,0,1,60
146,7/12/2014,443,3,1,25
146,6/26/2014,430,4,1,30
146,6/19/2012,496,0,1,65
146,6/26/2014,430,0,1,90
146,6/17/2011,432,3,1,90
147,6/18/2013,560,2,1,50
147,6/18/2013,560,4,1,40
147,7/12/2014,496,0,0,70
147,6/14/2014,377,2,0,45
147,7/4/2011,447,0,1,45
147,6/17/2011,376,3,1,100
147,7/4/2011,447,0,1,60
147,7/4/2011,447,1,1,75
147,7/7/2013,380,0,1,45
147,6/14/2014,377,0,1,70
147,6/17/2011,376,0,1,90
147,6/3/2012,386,0,1,100
148,7/6/2011,383,0,1,60
148,6/25/2014,515,8,1,100
148,6/17/2011,462,0,1,50
148,7/6/2011,383,0,1,30
148,7/7/2013,400,0,1,50
148,6/19/2012,428,1,1,35
148,7/6/2011,383,1,1,75
148,6/18/2013,540,2,1,55
148,6/1/2011,460,0,1,90
148,6/17/2011,462,5,1,70
148,6/19/2012,428,0,1,40
148,7/7/2013,400,0,1,30
148,6/18/2013,540,4,1,25
148,7/7/2013,400,1,1,80
148,6/17/2011,462,0,1,60
148,6/17/2011,462,0,1,85
148,7/7/2013,400,0,1,40
148,6/2/2013,404,5,1,60
149,6/18/2013,519,0,0,30
149,6/18/2013,519,0,1,60
149,6/2/2013,423,0,1,80
149,6/25/2014,495,0,1,50
149,6/25/2014,495,2,1,35
150,7/5/2012,383,2,1,80
150,7/7/2013,456,1,1,35
150,6/19/2012,521,1,1,90
150,6/26/2014,450,0,1,70
150,7/7/2013,456,2,1,60
150,6/2/2013,473,0,1,90
150,7/5/2012,383,0,0,50
150,6/19/2012,521,2,1,30
151,6/25/2014,371,9,0,60
151,6/1/2011,555,3,1,40
151,6/26/2014,468,7,1,85
151,6/25/2014,371,0,1,80
151,7/7/2013,479,0,1,95
151,7/5/2012,496,0,1,80
151,6/17/2011,388,0,1,80
165,6/19/2013,477,0,1,50
165,6/4/2012,391,0,1,25
165,6/20/2012,560,2,1,70
165,7/5/2013,448,9,0,35
166,6/20/2012,439,0,1,35
166,6/20/2011,389,0,1,70
167,6/3/2011,454,4,1,85
168,6/19/2014,397,9,1,40
168,7/4/2014,410,4,1,85
168,6/19/2014,397,0,1,70
168,6/3/2014,489,9,1,80
168,7/5/2013,416,0,1,60
168,6/3/2011,433,1,1,75
168,7/7/2011,454,7,0,35
168,6/4/2012,550,0,1,80
168,6/3/2011,433,1,1,40
169,7/7/2011,399,0,1,60
169,6/3/2011,530,1,1,60
169,7/2/2012,519,8,1,35
169,7/7/2011,399,7,0,40
169,6/3/2011,530,1,1,75
169,6/3/2011,530,0,1,50
169,6/3/2013,599,6,1,40
170,6/4/2012,498,0,1,95
170,6/4/2012,498,1,1,80
170,6/4/2012,498,0,1,65
170,6/4/2012,498,0,1,55
170,6/20/2012,461,0,1,50
170,7/4/2014,446,8,0,45
170,6/20/2011,413,1,1,100
170,6/3/2011,510,0,1,50
170,6/3/2011,510,0,1,35
170,7/7/2011,416,0,1,30
170,6/3/2014,446,2,1,55
171,7/4/2014,427,0,1,30
171,7/4/2014,427,0,1,85
171,7/4/2014,427,0,1,45
171,6/3/2011,491,0,1,75
171,7/2/2012,390,9,1,80
171,6/19/2014,416,4,0,60
171,6/4/2012,523,0,1,85
171,6/4/2012,523,0,1,40
171,6/3/2011,491,1,1,80
172,6/3/2013,523,3,1,95
172,7/9/2014,481,0,0,30
172,6/3/2011,472,3,1,75
172,7/2/2012,479,0,1,40
173,6/20/2012,508,1,1,85
174,7/9/2014,398,0,1,30
174,7/9/2014,398,2,1,50
175,6/3/2011,412,0,1,75
176,6/3/2011,553,2,1,90
176,6/3/2011,553,6,1,75
177,6/2/2014,373,2,1,40
177,7/2/2012,378,0,1,20
177,6/3/2013,370,0,1,95
177,6/4/2012,370,1,1,45
177,6/3/2013,370,2,1,60
177,6/2/2014,373,3,1,20
178,6/20/2012,414,2,1,35
178,6/20/2012,414,1,1,90
179,6/2/2014,406,2,1,60
179,6/20/2012,397,0,1,40
194,7/5/2013,387,0,1,70
194,6/20/2011,460,0,1,70
194,7/6/2011,506,0,1,65
194,7/5/2013,387,0,1,30
194,7/6/2011,506,0,1,40
194,7/6/2011,506,0,1,25
194,6/4/2014,578,0,1,45
194,6/3/2013,469,2,1,80
194,7/5/2013,387,6,1,45
194,6/20/2011,460,2,1,90
194,6/20/2011,460,2,1,70
194,6/23/2014,375,0,1,100
194,6/19/2013,465,4,0,30
195,6/23/2014,397,0,1,45
195,7/11/2014,462,0,0,60
195,5/31/2012,457,8,1,35
195,6/19/2013,486,0,1,35
195,7/6/2011,487,0,1,65
195,7/11/2014,462,0,1,75
195,7/6/2011,487,0,1,60
195,6/2/2011,453,1,1,75
195,6/23/2014,397,0,1,100
195,6/3/2013,447,1,1,70
195,6/2/2011,453,4,0,60
195,6/20/2011,481,0,1,85
195,6/4/2014,557,8,0,50
196,6/24/2014,450,0,1,40
196,6/16/2012,476,4,1,25
196,6/3/2013,430,0,0,40
196,7/11/2014,444,0,1,40
196,7/6/2011,472,0,1,40
196,7/6/2011,472,0,1,45
196,7/11/2014,444,0,1,20
196,6/19/2013,506,3,1,70
196,6/23/2014,414,0,1,80
196,6/4/2014,539,3,1,50
196,6/2/2011,435,5,0,50
196,6/20/2011,502,2,1,35
196,7/11/2014,444,0,1,75
196,6/23/2014,414,0,1,25
196,7/5/2013,393,0,1,85
196,6/3/2013,430,2,0,45
197,6/30/2012,364,9,1,15
197,6/4/2014,520,4,1,50
197,6/4/2014,520,0,0,5
197,6/30/2012,364,0,1,35
197,6/20/2011,502,0,1,50
197,6/19/2013,409,0,1,60
197,6/24/2014,435,0,1,40
197,6/4/2014,520,0,1,7
197,6/23/2014,435,8,0,25
197,7/5/2013,409,0,1,80
198,6/30/2012,388,0,1,85
198,6/19/2013,442,0,1,50
198,6/16/2012,441,0,1,70
198,6/24/2014,414,0,1,45
198,7/6/2011,461,1,1,40
198,6/16/2012,441,3,0,55
198,6/24/2014,414,1,1,35
199,6/20/2011,457,0,1,75
199,7/5/2013,446,1,1,90
200,6/23/2014,507,5,1,25
200,6/19/2013,386,0,1,40
200,6/3/2013,544,2,1,90
200,7/5/2013,465,0,1,50
200,7/6/2011,423,0,1,25
200,6/4/2014,446,0,1,95
200,6/24/2014,591,2,0,25
200,6/16/2012,401,0,1,60
201,7/5/2013,376,0,1,70
201,7/6/2011,453,0,1,65
201,7/5/2013,376,0,1,90
201,6/2/2011,411,0,1,50
201,6/19/2013,527,3,1,20
201,7/11/2014,545,3,1,85
201,6/19/2013,527,0,1,30
201,6/2/2011,411,7,0,45
201,7/6/2011,453,3,1,75
201,7/11/2014,545,0,1,85
201,7/5/2013,376,2,1,30
201,5/31/2012,598,7,0,50
202,6/19/2011,389,8,1,70
